FINCHAMPSTEAD,,,,,,,,,,,,
Grid ref,SU792633,Long,-0.863804,Lat,51.363255,,,,,,,
Station no,773/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.70,1.48,2.65,2.60,2.59,,
February,,,,,,0.20,2.82,2.49,0.26,2.28,,
March,,,,,,0.52,1.23,1.53,3.04,1.34,,
April,,,,,,1.30,0.29,1.14,2.07,0.53,,
May,,,,,,0.22,1.11,2.01,0.60,1.61,,
June,,,,,,2.55,0.89,3.03,0.65,0.99,,
July,,,,,,4.20,4.50,1.44,3.12,2.62,,
August,,,,,,4.40,2.69,3.74,1.65,3.47,,
September,,,,,1.54,3.77,2.83,3.54,0.06,3.21,,
October,,,,,4.14,2.79,2.01,2.58,2.24,7.21,,
November,,,,,1.95,0.61,2.40,2.58,2.57,3.40,,
December,,,,,2.54,3.42,2.46,2.57,4.07,2.88,,
Total,,,,,,27.68,24.71,29.30,22.93,32.13,,
Calc annual,0.00,0.00,0.00,0.00,10.17,27.68,24.71,29.30,22.93,32.13,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
