"RINGWOOD (CROW HILL)",,,,,,,,,,,,
Grid ref,SU171043,Long,-1.758525,Lat,50.837979,,,,,,,
Station no,624,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,2.00,3.11,5.15,2.92,4.32,3.79,3.56,,
February,,,,3.23,1.87,0.06,4.61,2.79,0.26,2.95,,
March,,,,3.97,1.18,1.11,2.84,2.15,3.50,1.99,,
April,,,,0.20,0.54,2.01,0.32,0.83,2.84,1.79,,
May,,,,2.21,4.08,0.43,1.12,2.60,0.82,1.49,,
June,,,,2.71,3.16,2.34,1.10,5.08,1.23,1.85,,
July,,,,3.08,2.07,2.68,3.92,1.63,2.49,4.01,,
August,,,,3.54,0.85,4.34,2.85,3.94,2.67,5.59,,
September,,,,3.11,1.59,4.41,3.01,5.24,0.20,5.98,,
October,,,,3.36,4.79,2.08,2.65,3.70,3.52,9.82,,
November,,,,5.97,3.85,0.81,2.72,2.40,4.02,5.74,,
December,,,,3.35,5.73,6.22,3.06,4.08,7.43,3.36,,
Total,,,,36.73,32.82,31.64,31.12,38.76,32.77,48.13,,
Calc annual,0.00,0.00,0.00,36.73,32.82,31.64,31.12,38.76,32.77,48.13,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
