COMPTON,,,,,,,,,,
Grid ref,SU519802,Long,-1.2534083,Lat,51.518344,Elevation,339,ft.,,
Station no,810/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.56
February,,,,,,,,,,2.08
March,,,,,,,,,,1.39
April,,,,,,,,,,0.74
May,,,,,,,,,,1.8
June,,,,,,,,,,2.28
July,,,,,,,,,,3.04
August,,,,,,,,,2.44,2.6
September,,,,,,,,,0.02,3.34
October,,,,,,,,,1.97,7.37
November,,,,,,,,,2.56,3.91
December,,,,,,,,,4.64,
Total,,,,,,,,,,
,,,,,,,,,,
"NGR is near the Agricultural Research Centre, the named observer.",,,,,,,,,,
Altitudes match. MIDAS src_id 823 ends 1969,,,,,,,,,,
