CLAVELSHAY,,,,,,,,,,,,
Grid ref,ST264316,Long,-3.052031,Lat,51.078982,,,,,,,
Station no,2076/8/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.36,,
February,,,,,,,,,,3.52,,
March,,,,,,,,,,2.20,,
April,,,,,,,,,,2.71,,
May,,,,,,,,,,1.71,,
June,,,,,,,,,1.69,1.68,,
July,,,,,,,,,1.77,4.37,,
August,,,,,,,,,1.06,4.21,,
September,,,,,,,,,0.05,3.68,,
October,,,,,,,,,3.87,11.86,,
November,,,,,,,,,5.18,3.60,,
December,,,,,,,,,6.44,4.26,,
Total,,,,,,,,,,47.16,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.06,47.16,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
