EASTERTON (KESTRELS) (SPARROWS),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1480/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,1.77,2.23,2.53,2.14,0.77,3.78,4.63,2.34,5.27,2.16,,
February,2.73,0.02,3.99,0.07,2.79,2.67,4.99,0.61,1.15,2.51,,
March,0.48,1.50,2.83,2.52,1.20,2.63,3.78,0.10,1.23,1.70,,
April,2.26,3.17,1.46,1.77,4.33,1.93,1.75,0.11,2.55,2.90,,
May,2.46,4.75,1.95,0.95,1.48,0.37,1.91,1.41,0.99,1.17,,
June,2.28,1.25,1.48,0.77,5.34,3.43,1.12,0.71,2.79,0.63,,
July,4.39,4.35,2.43,1.13,0.59,4.26,1.87,2.81,5.75,2.58,,
August,3.22,1.41,0.84,2.63,2.35,0.47,0.94,1.85,2.26,0.12,,
September,1.49,2.87,2.45,2.79,5.62,3.06,3.67,1.91,1.71,0.92,,
October,0.96,4.90,2.27,2.09,4.58,1.87,3.87,4.38,3.09,3.54,,
November,4.37,1.50,0.79,1.59,6.33,3.26,1.30,3.53,5.11,7.54,,
December,0.91,1.11,0.68,6.95,4.15,2.44,2.10,3.14,1.89,1.45,,
Total,27.32,29.06,23.70,25.40,39.53,30.17,31.93,22.90,33.79,27.22,,
Calc annual,27.32,29.06,23.70,25.40,39.53,30.17,31.93,22.90,33.79,27.22,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
