LENNOXTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 61928 78508,Long,-4.214389,Lat,55.979633,Elevation,240,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5381/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,,5.21,7.73,5.16,8.39,2.76,6.43,4.94,9.53,6.37,2.3,1.66,8.13,6.41,7.82,3.54,7.24,6.08,8.94,6.9,5.58,7.27,5.53,,,,,,,,
February,,,,,,,,,,,,6.3,0.03,4.75,0.66,5.84,4.01,7.14,2.63,8.41,2.25,6.29,2.37,6.05,2.95,7.98,4.64,2.38,6.56,5.34,6.23,4.36,2.2,,,,,,,,
March,,,,,,,,,,,,1.68,2.88,3.55,4.28,2.2,3.68,1.61,3.65,5.36,5.33,3.19,3.41,3.69,0.75,5.16,3.97,5.55,5.49,2.35,4.01,4.84,4.15,,,,,,,,
April,,,,,,,,,,,,2.58,5.86,2.6,5.96,3.6,1.69,2.36,1.18,3.6,3.81,2.22,3.96,4.23,3.55,2.79,2.31,6.64,4,6.19,4.24,3.57,3.06,,,,,,,,
May,,,,,,,,,,,,5.4,4.1,2.23,3.55,0.67,1.02,2.43,5.38,1.64,1.42,3.84,3.42,5.86,4.7,5.92,1.9,5.05,2.49,2.15,1.49,1.86,2.11,,,,,,,,
June,,,,,,,,,,,,6.32,1.4,1.76,2.54,7.15,2.8,4.62,8.08,2.85,0.82,1.15,2.22,5.2,4.37,5.27,4.71,4.48,6.28,1.23,3.6,3.28,4.1,,,,,,,,
July,,,,,,,,,,,,7.41,4.54,4.91,3.35,2.63,5.59,4.9,5.64,6.61,3.52,3.52,2.9,2.93,3.26,3.83,4.76,3.26,4.92,2.89,7.78,5.64,3.98,,,,,,,,
August,,,,,,,,,,,,2.01,3.22,3.58,5.03,3.04,5.08,3.85,2.81,2.22,2.87,6.26,6.98,7.28,4.42,2.52,4.2,0,8.52,5.52,6.79,6.27,4.9,,,,,,,,
September,,,,,,,,,,,,1.58,5.71,1.07,5.48,7.64,4.6,3.93,6.14,2.7,4.4,2.36,6.52,4.4,5.27,7.12,7.79,5.87,8.12,2.67,11.65,5.51,3.66,,,,,,,,
October,,,,,,,,,,,,4.89,8.15,3.55,8.63,11.46,7.54,4.65,10.61,3.67,5.87,5.2,8.98,11.84,5.97,6.97,0.48,2.72,8.61,8.86,4.9,1.41,4.7,,,,,,,,
November,,,,,,,,,,,,8.37,5.25,3.03,1.97,6.68,5.16,0.55,9.92,11.26,6.83,3.73,0.74,3.71,9.83,0.44,7.75,8.72,4.88,4.7,4.97,7.43,2.93,,,,,,,,
December,,,,,,,,,,,4.25,5.5,8.44,1.51,5.93,3.7,6.76,4.06,4.09,2.94,6.43,3.29,6.42,3.07,7.7,4.24,4.87,3.37,6.92,11.56,2.7,8.64,6.28,,,,,,,,
Total,,,,,,,,,,,,57.25,57.31,37.7,55.77,57.37,54.36,45.04,69.66,57.63,45.85,42.71,56.05,64.67,60.59,55.78,54.62,54.12,75.73,60.36,63.94,60.08,47.6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953 JF+T deleted est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5381/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,657996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
