"GODSTONE (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TQ352522,Long,-0.064047,Lat,51.252948,,,,,,,
Station no,68/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.60,2.56,4.39,2.17,2.71,2.99,2.75,,
February,,,,2.39,1.67,0.45,4.28,2.16,0.09,2.13,,
March,,,,2.54,1.36,0.92,1.33,1.77,2.09,1.84,,
April,,,,0.36,0.34,1.60,0.31,1.16,2.09,0.84,,
May,,,,2.88,3.77,0.20,1.47,1.89,0.66,1.53,,
June,,,,5.31,1.83,2.82,1.22,3.94,1.55,1.19,,
July,,,,3.42,0.21,3.66,3.47,1.23,0.95,2.72,,
August,,,,3.20,1.65,2.36,2.65,2.74,0.82,3.02,,
September,,,,2.26,2.82,2.76,2.50,6.08,0.13,3.62,,
October,,,,2.10,4.87,1.33,1.61,3.18,3.20,6.89,,
November,,,,5.84,1.05,1.01,2.94,2.07,2.88,5.07,,
December,,,,1.99,2.66,3.98,2.42,3.44,5.15,3.82,,
Total,,,,33.89,24.79,25.48,26.37,32.37,22.60,35.42,,
Calc annual,0.00,0.00,0.00,33.89,24.79,25.48,26.37,32.37,22.60,35.42,,
Difference,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
