SHARDLOW HALL,,,,,,,,,,,,
Grid ref,SK438306,Long,-1.350739,Lat,52.871100,,,,,,,
Station no,2649/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.31,0.83,1.30,2.04,3.05,1.48,2.57,,,,
February,,0.56,1.38,2.02,2.08,0.66,2.19,3.09,,,,
March,,2.25,1.31,1.62,2.69,1.02,2.20,1.71,,,,
April,,1.72,2.14,0.34,1.19,1.39,0.19,0.62,,,,
May,,3.16,1.82,2.35,3.41,0.53,0.88,1.87,,,,
June,,2.01,2.48,2.76,4.25,2.96,1.47,4.23,,,,
July,,0.36,1.62,1.88,0.99,2.73,2.65,4.94,,,,
August,,2.40,2.00,3.61,0.66,4.40,2.44,2.51,,,,
September,,1.02,1.67,2.36,0.80,2.41,5.92,2.41,,,,
October,,2.67,1.80,2.59,1.81,1.24,1.19,2.90,,,,
November,,1.25,1.42,4.43,1.55,0.68,2.12,1.11,,,,
December,,,1.07,2.45,2.07,3.35,1.82,2.68,,,,
Total,,,19.54,27.71,23.54,24.42,24.55,30.64,,,,
Calc annual,0.00,19.71,19.54,27.71,23.54,24.42,24.55,30.64,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
