WHITELANDS-BURY-FARM,,,,,,,,,,
Grid ref,TL783135,Long,0.5842,Lat,51.7926,Elevation,130,ft,,
Station no,1293/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.02,1.34,2.19,3.36,0.99,2.17,1.85,2.11
February,,,0.91,2.1,1.78,0.5,2.04,2.95,0.13,1.78
March,,,0.52,1.73,1.1,0.87,1.37,0.7,1.56,1.34
April,,,1.74,0.32,0.15,1.07,0.2,0.99,2.33,0.38
May,,,1.56,1.98,4.05,0.43,1.02,2.29,0.62,2.02
June,,,2.14,2.3,1.99,1.84,1.68,5.36,0.6,1.51
July,,,2.99,2.8,0.38,3.65,2.86,3.17,2.99,2.66
August,,,1.49,2.77,0.82,5.09,1.69,4.31,0.63,3.29
September,,2.66,2.21,1.18,1.83,2.03,2.89,4.77,0.07,4.23
October,,2.02,2.39,1.5,3.92,1.42,1.48,2.07,1.77,6.16
November,,3.73,0.91,3.09,0.68,0.5,2.78,1.48,3.03,3.93
December,,2.14,0.7,1.29,1.44,2.03,1.88,2.91,4.3,2.54
Total,,,18.58,22.4,20.33,22.79,20.88,33.17,19.88,31.95
