ROUSDEN (CHARTON BARN),,,,,,,,,,,,
Grid ref,SY303909,Long,-2.988586,Lat,50.713534,,,,,,,
Station no,1812/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.52,5.42,3.85,,
February,,,,,,,,3.79,0.50,3.81,,
March,,,,,,,,2.02,3.71,2.61,,
April,,,,,,,,0.83,2.62,3.23,,
May,,,,,,,,3.13,0.98,2.30,,
June,,,,,,,,3.17,1.06,1.12,,
July,,,,,,,,2.97,1.99,3.86,,
August,,,,,,,,3.90,1.85,4.32,,
September,,,,,,,,5.08,0.10,6.44,,
October,,,,,,,,2.64,3.46,11.11,,
November,,,,,,,,3.43,5.78,4.99,,
December,,,,,,,,7.19,7.33,3.93,,
Total,,,,,,,,41.67,34.80,51.57,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.67,34.80,51.57,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,,
