PETERSFIELD LINGWOOD LYSS,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8733,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,0.71,2.53,5.26,2.88,1.32,2.78,0.86,4.12,,
February,,,1.23,4.58,2.30,0.29,0.58,3.77,1.72,,,
March,,,1.53,0.87,1.81,2.27,4.38,5.03,1.34,,,
April,,,0.83,0.00,2.54,3.01,0.56,2.03,1.60,,,
May,,,0.71,0.72,1.87,0.28,0.45,1.44,4.68,,,
June,,,3.20,1.87,2.35,0.57,5.00,2.31,2.42,,,
July,,,3.09,3.85,5.63,5.38,0.62,0.85,0.47,,,
August,,,2.72,1.46,2.04,2.90,2.67,5.98,1.66,,,
September,,,3.00,2.30,2.32,0.38,9.11,2.63,1.53,,,
October,,,5.37,6.27,4.45,3.39,3.45,0.64,4.67,,,
November,,,3.72,3.31,7.00,6.71,1.45,1.55,4.95,,,
December,,,2.16,4.29,2.67,3.99,5.59,5.15,3.44,,,
Total,,,28.27,32.05,40.24,32.05,35.18,34.16,29.34,,,
Calc annual,0.00,0.00,28.27,32.05,40.24,32.05,35.18,34.16,29.34,4.12,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,NaN,,
