WROTHAM WHITEHILL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8366,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.36,1.52,3.06,,,,,,,,,
February,3.52,1.53,1.69,,,,,,,,,
March,1.44,2.15,4.07,,,,,,,,,
April,2.18,2.34,0.06,,,,,,,,,
May,3.80,1.01,1.09,,,,,,,,,
June,2.22,1.83,2.99,,,,,,,,,
July,2.47,0.23,1.24,,,,,,,,,
August,2.23,1.06,4.97,,,,,,,,,
September,0.90,1.41,2.92,,,,,,,,,
October,2.46,4.10,3.16,,,,,,,,,
November,3.95,6.56,2.67,,,,,,,,,
December,4.04,5.68,3.00,,,,,,,,,
Total,31.57,29.42,30.92,,,,,,,,,
Calc annual,31.57,29.42,30.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
