"BRAY, FASSAROE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,3.89,1.00,6.82,10.19,1.03,2.69,1.78,,,,,
February,5.28,2.22,5.61,1.79,4.77,6.48,5.57,,,,,
March,2.48,1.39,5.07,2.99,3.25,1.17,4.81,,,,,
April,2.45,2.28,1.82,4.28,1.29,1.66,2.40,,,,,
May,2.23,1.07,1.27,4.36,1.79,2.97,7.33,,,,,
June,5.59,2.48,3.39,1.00,1.37,1.35,2.77,,,,,
July,2.39,2.64,4.27,0.68,3.28,6.44,1.66,,,,,
August,5.43,1.42,7.73,0.85,3.59,1.51,2.21,,,,,
September,0.75,1.20,0.68,4.16,1.17,1.28,2.72,,,,,
October,3.24,6.59,2.72,6.80,2.48,7.61,7.94,,,,,
November,3.18,5.65,1.54,4.91,4.94,4.24,6.88,,,,,
December,9.30,9.70,2.91,2.17,9.64,7.80,4.34,,,,,
Total,46.21,37.64,43.83,44.18,38.60,45.20,50.41,,,,,
Calc annual,46.21,37.64,43.83,44.18,38.60,45.20,50.41,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
