TARBATNESS,,,,,,,,,,,,,,,,,,,,
Grid ref,NH947875,Long,-3.776495,Lat,57.864532,Elevation,60,ft,,,,,,,,,,,,
Station no,5778/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.91,2.14,2.2,1.12,0.97,0.99,1.13,2.78,2.22,1.62,3.12,2.32
February,,,,,,,,,1.22,2.5,1.4,1.34,1.4,1.21,0.97,1.6,1,1.74,0.29,1.13
March,,,,,,,,,2.35,1.16,1.34,2.19,0.43,1.44,0.82,0.59,2.72,0.78,1.68,1.46
April,,,,,,,,,1.19,1.82,2.15,0.48,1.37,0.73,1.09,2,0.52,1.04,3.5,0.77
May,,,,,,,,,1.18,1.22,0.44,1.19,2.23,2.98,2.28,1.22,0.71,3.41,0.5,0.38
June,,,,,,,,,1.34,1.53,1.11,1.21,1.09,2.17,1.44,1.79,2.11,1.86,1.1,2.61
July,,,,,,,,,,3.33,1.65,1.72,3.49,2.62,0.34,5.33,6.25,1.68,2.56,1.93
August,,,,,,,,,,2.48,3.7,3.37,2.06,1.61,0.29,3.78,3.27,3.74,1.13,3.93
September,,,,,,,,,1.56,3.76,0.69,1.18,1.57,1.8,1.84,1.96,0.8,1.52,0.58,1.85
October,,,,,,,,,1.64,0.67,1.13,1.1,0.82,4.26,3.55,2.41,1.05,2.13,2.12,3.09
November,,,,,,,,1.83,1.5,2.32,3.85,1.79,1.93,2.47,1.07,1.39,0.97,0.94,2.22,1.29
December,,,,,,,,2.22,3.98,1.31,2.54,1.73,1.84,3.61,4.24,1.81,3.8,2.51,0.72,0.4
Total,,,,,,,,,,24.24,22.2,18.42,19.2,25.89,19.06,26.66,25.42,22.97,19.52,21.16
