GLENSHEE LODGE,,,,,,,,,,,,
Grid ref,NO133684,Long,-3.421201,Lat,56.799026,,,,,,,
Station no,5569/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.39,3.78,2.08,4.21,5.80,3.87,2.60,4.47,,
February,,,1.26,4.09,2.98,1.90,4.51,3.80,0.86,6.30,,
March,,,1.22,4.12,1.47,3.88,4.03,2.69,4.43,3.11,,
April,,,2.45,1.51,1.75,1.04,1.59,1.79,3.52,5.75,,
May,,,2.99,4.87,2.95,1.96,2.41,3.76,1.32,2.70,,
June,,,2.74,1.84,1.64,2.86,1.88,3.79,4.15,2.40,,
July,,,4.33,3.11,0.86,3.46,3.70,4.02,4.50,3.84,,
August,,,2.48,3.21,0.86,6.25,4.44,3.85,1.83,4.89,,
September,,,4.54,4.16,2.16,5.38,2.60,4.82,1.11,2.62,,
October,,4.50,2.65,7.93,3.52,2.93,3.39,4.10,6.25,7.34,,
November,,2.20,5.48,11.02,2.72,2.12,1.47,1.30,8.19,6.44,,
December,,2.30,5.08,6.57,9.48,8.99,6.27,6.33,12.63,4.57,,
Total,,,36.61,56.21,32.47,44.98,42.09,44.12,51.39,54.43,,
Calc annual,0.00,9.00,36.61,56.21,32.47,44.98,42.09,44.12,51.39,54.43,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
