FRONGOCH,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6602,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,2.06,2.83,4.78,4.80,4.82,4.58,10.75,7.78,1.72,3.91,,
February,2.67,4.81,0.97,2.23,0.75,4.13,5.22,4.50,3.63,6.86,,
March,5.20,3.66,4.80,2.45,2.67,2.59,5.21,1.73,3.63,1.61,,
April,4.31,1.19,4.76,3.10,3.14,1.34,0.98,8.03,3.33,2.61,,
May,4.31,2.07,4.10,2.03,2.58,3.68,2.09,2.23,1.73,3.47,,
June,6.80,3.66,4.82,4.14,2.84,1.75,8.94,1.49,0.73,1.07,,
July,2.12,4.89,5.45,1.38,2.43,3.82,3.03,6.10,0.82,2.54,,
August,6.10,4.55,4.31,4.91,3.85,5.56,5.73,3.15,2.97,4.07,,
September,3.68,6.83,3.71,7.14,4.46,1.42,8.13,6.03,2.09,12.96,,
October,5.03,4.98,6.81,7.21,3.31,5.97,3.25,7.83,7.13,3.31,,
November,2.88,4.78,1.94,7.50,4.50,4.14,5.08,3.74,3.18,3.17,,
December,4.81,3.06,7.23,3.62,1.85,4.76,6.33,4.00,7.69,5.00,,
Total,49.97,47.31,53.68,50.51,37.20,43.74,64.74,56.61,38.65,50.58,,
Calc annual,49.97,47.31,53.68,50.51,37.20,43.74,64.74,56.61,38.65,50.58,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
