WARE (ST EDMUND'S COLLEGE),,,,,,,,,,,,
Grid ref,TL371221,Long,-0.009593,Lat,51.880616,,,,,,,
Station no,963/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,-999.00,3.40,0.89,2.35,2.14,2.38,,
February,,,,,1.60,0.66,2.37,2.27,0.08,1.62,,
March,,,,,1.15,0.67,1.09,0.97,1.92,1.00,,
April,,,,,0.58,1.12,1.16,1.16,2.35,0.36,,
May,,,,,4.50,0.40,0.63,2.41,0.99,1.08,,
June,,,,,2.07,3.02,1.54,5.59,1.04,1.68,,
July,,,,,0.22,3.15,3.49,3.05,3.82,2.33,,
August,,,,,1.23,4.94,2.21,2.46,1.12,3.38,,
September,,,,,1.51,2.49,3.19,3.25,0.00,4.55,,
October,,,,,3.58,1.73,2.06,2.96,2.00,5.40,,
November,,,,3.99,1.01,0.93,2.02,1.89,2.33,3.01,,
December,,,,1.40,2.18,3.25,1.93,3.20,4.40,4.43,,
Total,,,,,,25.76,22.58,31.56,22.19,31.22,,
Calc annual,0.00,0.00,0.00,5.39,19.63,25.76,22.58,31.56,22.19,31.22,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,0.00,0.00,,
