"AUCHENS HOUSE AT IRVINE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2415,,,,,,,,,,,
,,,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,,
January,,,,,,,,,1.75,3.31,,
February,,,,,,,,,1.25,3.43,,
March,,,,,,,,,0.00,1.43,,
April,,,,,,,,,1.31,0.56,,
May,,,,,,,,,1.50,2.50,,
June,,,,,,,,,1.50,1.50,,
July,,,,,,,,,2.31,3.06,,
August,,,,,,,,,4.56,7.00,,
September,,,,,,,,,4.75,3.88,,
October,,,,,,,,,3.75,2.63,,
November,,,,,,,,,2.81,3.43,,
December,,,,,,,,,3.75,8.31,,
Total,,,,,,,,,29.24,41.04,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.24,41.04,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
