NULTS CORNER (BELFAST AIRPORT),,,,,,,,,,,,,,,,,,,,
Grid ref,IJ196776,Long,-6.1484369,Lat,54.632544,Elevation,338,ft,,,,,,,,,,,,
Station no,6232/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.88,1.26,2.54,3.74,1.57,3.05,4.27,3.74,3.95,4.19,2.02,3.67
February,,,,,,,,,1.95,3.35,3.14,0.86,1.32,4.51,3.53,1.09,2.32,4.33,1.52,2.81
March,,,,,,,,,2.46,1.23,2.35,1.44,0.22,3.45,1.34,2.09,2.45,2.03,3.01,2.32
April,,,,,,,,,2.17,3.96,1.09,1.69,1.45,0.47,2.65,1.29,1.33,1.68,2.47,3.43
May,,,,,,,,,2.01,0.98,2.21,1.38,1.96,4.11,2.46,1.27,1.91,3.36,1.13,2.31
June,,,,,,,,,0.84,2.91,2.67,3.19,2.4,3.32,4.46,3.11,1.48,5.41,1.98,2.45
July,,,,,,,,2.47,2.23,5.47,3.87,2.04,4.76,3.42,1.37,3,4.12,3.71,4.28,6.55
August,,,,,,,,2.85,3.14,4.36,2.37,4.68,2.81,2.73,1.43,6.44,4.55,3.55,1.01,4.96
September,,,,,,,,4.13,1.94,6.37,1.88,1.98,2.69,3.73,4.46,2.97,5.55,5.73,1.51,3.05
October,,,,,,,,3.47,5.14,3.45,0.81,4.06,2.32,6.59,2.57,2.46,3.55,2.4,3.74,4.8
November,,,,,,,,2.75,2.65,2.63,7.62,3.35,3.64,6.39,2.33,1.25,1.73,1.86,3.67,3.48
December,,,,,,,,4.67,4.22,3.4,4.55,4.06,3.36,4.46,5.06,5.63,5.13,5.39,6.65,2.67
Total,,,,,,,,,31.63,39.37,35.1,32.47,28.5,46.23,35.93,34.34,38.07,43.64,32.99,42.5
,,,,,,,,,,,,,,,,,,,,
1455,NUTTS CORNER ,01/01/1948,31/12/1964,,,,,,,,,,,,,,,,,
