BODICOTE DRAYCOTT HOUSE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6465,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.27,1.07,3.62,3.45,0.69,2.39,1.26,1.66,2.36,3.56,,
February,3.35,1.47,2.24,1.23,2.58,3.31,4.07,1.28,0.94,2.77,,
March,1.00,2.46,3.58,3.26,3.41,1.25,4.65,2.06,1.15,4.36,,
April,1.99,0.79,0.10,4.29,0.85,0.93,1.35,1.37,3.10,2.32,,
May,2.17,1.15,2.50,1.63,1.05,2.45,2.05,2.84,1.53,0.90,,
June,2.45,1.76,3.42,0.71,2.49,0.83,2.69,1.46,0.62,0.87,,
July,2.60,0.43,3.26,0.77,2.65,3.05,2.24,1.94,2.92,2.57,,
August,2.57,1.72,5.68,0.51,1.19,1.13,2.75,5.07,1.09,2.54,,
September,0.55,1.34,1.32,2.50,1.24,1.95,0.71,1.67,4.51,1.99,,
October,2.29,2.37,2.60,4.11,2.13,2.42,2.47,2.68,1.47,1.83,,
November,4.05,2.79,1.45,2.82,3.10,2.40,3.25,0.94,2.11,1.55,,
December,5.63,5.54,3.60,1.01,5.72,4.28,2.94,1.09,2.61,4.20,,
Total,30.92,22.89,33.37,26.29,27.10,26.39,30.43,24.06,24.41,29.46,,
Calc annual,30.92,22.89,33.37,26.29,27.10,26.39,30.43,24.06,24.41,29.46,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
