GREAT COXWELL (COURT HOUSE FARM),,,,,,,,,,,,
Grid ref,SU269939,Long,-1.612651,Lat,51.643262,,,,,,,
Station no,823/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.82,1.54,2.65,4.87,1.77,2.94,4.25,3.92,,
February,,,1.17,2.42,1.62,0.29,2.64,2.89,0.15,1.96,,
March,,,0.78,2.44,1.43,0.42,1.70,1.24,2.51,1.37,,
April,,,2.12,0.25,0.53,1.86,0.38,0.83,2.72,0.90,,
May,,,1.65,1.88,4.79,0.35,1.61,2.44,0.69,1.48,,
June,,,1.97,3.71,3.29,2.24,2.54,3.38,1.20,3.15,,
July,,0.38,2.53,2.07,0.16,2.17,2.70,2.57,1.65,3.64,,
August,,5.36,2.49,3.49,0.20,5.07,3.46,2.87,1.27,3.38,,
September,,1.63,2.63,2.30,0.98,3.23,3.26,3.32,0.15,4.11,,
October,,3.26,3.37,2.55,1.66,1.69,2.03,2.41,1.92,5.37,,
November,,4.38,1.14,5.17,1.30,0.68,2.12,2.57,2.15,4.49,,
December,,2.54,0.85,2.33,3.38,3.71,2.22,2.96,5.04,5.07,,
Total,,,21.52,30.15,21.99,26.58,26.43,30.42,23.70,38.84,,
Calc annual,0.00,17.55,21.52,30.15,21.99,26.58,26.43,30.42,23.70,38.84,,
Difference,NaN,NaN,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
