CASCOB-FORESTERS-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SO228658,Long,-3.1331407,Lat,52.284895,Elevation,1000,ft.,,,,,,,,,,,,
Station no,4226/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.93,5.49,6.01,1.06,3.55,3.6,5.88,3.75,3.5,5.87,7.34
February,,,,,,,,,,9.78,5.35,1.23,2.45,3.96,2.37,0.65,3.74,8.25,0.37,5.27
March,,,,,,,,,,2.13,5.81,2.87,3.86,4.31,4.5,1.85,3.66,1.89,4.04,3.32
April,,,,,,,,,,3.56,4.25,2.32,3.77,0.74,2.02,1.61,0.56,1.08,4.5,3.94
May,,,,,,,,,,1.38,3.38,3.39,2.57,3.87,6.4,0.72,2.92,3.67,3.95,2.34
June,,,,,,,,,,2.16,0.67,2.99,1.73,6.62,6.28,3.6,1.66,4.8,3.66,2.25
July,,,,,,,,,,4.34,1.83,1.32,4.46,3.14,2.1,5.28,3.99,6.11,3.02,4.29
August,,,,,,,,,,4.64,5.69,5.78,3.82,6.96,1.02,5.38,8.37,3.52,0.9,4.48
September,,,,,,,,,,6.21,2.97,4.8,4.55,4.48,1.68,5.21,8.8,7.63,0.17,4.73
October,,,,,,,,,,,1.33,6.66,2.32,6.02,2.51,2.3,3.01,5.33,3.8,9.03
November,,,,,,,,,,5.98,11.69,4.72,3.76,10.32,4.71,2.19,4.08,2.88,5.83,10.04
December,,,,,,,,,,,4.19,5.01,1.98,5.24,5.7,5.03,3.33,5.64,11.14,6.34
Total,,,,,,,,,,,52.65,47.1,36.33,59.21,42.89,39.7,47.87,54.3,47.25,63.37
,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is in Cascob area. Altitudes match. ,,,,,,,,,,,,,,,,,,,,
