DYCE (ABERDEEN AIRPORT) No 2,,,,,,,,,,,,,,,,,,,,
Grid ref,NJ873125,Long,-2.21184,Lat,57.203103,Elevation,190,ft,,,,,,,,,,,,
Station no,5647/5/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.53,3.9,2.5,1.57,1.32,1.05,3.9,2.35,2.85,2.72,4.78
February,,,,,,,,,,3.44,3.58,1.27,1.39,2.8,3.35,1.95,2.28,3.81,0.27,2.98
March,,,,,,,,,,2.84,3.06,3.64,0.28,2.13,1.99,1.75,2.28,4.99,1.4,1.24
April,,,,,,,,,,1.76,2.78,1.54,2.76,1.55,0.73,1.55,1.32,1.65,2.81,1.41
May,,,,,,,,,,1.38,1.32,2.36,2.64,4.22,2.97,0.6,1.49,3.17,1.34,0.88
June,,,,,,,,,,1.68,2.05,3.13,2.48,2.48,1.73,1.96,3.58,1.5,1.81,1.49
July,,,,,,,,,,4.15,5.47,2.17,4.08,2.85,0.97,5.49,7.79,6.2,1.76,4.11
August,,,,,,,,,,2.94,3.65,3.93,3.26,2.78,0.33,3.25,4.36,2.72,0.85,4.18
September,,,,,,,,,,5.96,1.19,2.09,4.74,1.21,1.88,4.7,2.36,2.55,0.6,2.79
October,,,,,,,,,,1.99,0.97,2.74,1.71,4.96,5.05,3.13,1.45,1.55,4.1,7.85
November,,,,,,,,,,3.62,8.46,3.65,2.65,6.14,2.36,1.66,1.43,0.74,4.5,5.21
December,,,,,,,,,,3.05,2.05,2.9,2.69,3.8,5.79,4.19,3.92,4.98,4.25,2.43
Total,,,,,,,,,,35.34,38.48,31.92,30.25,36.24,28.2,34.13,34.61,36.71,26.41,39.35
,,,,,,,,,,,,,,,,,,,,
Station no,5647/5/1,,,,,,,,,,,,,,,,,,,
Midas,161,,,,,,,,,,,,,,,,,,,
Hyd Stn,841490,,,,,,,,,,,,,,,,,,,
