"CATOR COURT, ASHBURTON",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6395,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,1.58,4.09,5.72,9.47,9.09,6.32,7.91,5.68,2.54,2.79,,
February,9.15,7.92,5.02,11.84,10.74,9.54,2.56,1.70,1.50,4.79,,
March,5.27,6.89,2.55,2.81,6.15,2.59,6.76,2.58,9.06,5.97,,
April,3.81,1.63,8.75,2.21,2.95,7.04,3.62,2.15,3.61,2.62,,
May,1.03,3.07,3.01,2.74,2.87,3.43,4.09,2.36,3.65,2.92,,
June,2.31,4.73,5.80,3.81,1.41,2.46,1.30,0.22,3.66,0.44,,
July,5.97,2.72,6.41,5.18,4.77,1.21,3.71,2.35,8.68,4.70,,
August,0.61,7.15,4.40,2.17,2.47,2.57,3.36,2.70,4.38,4.57,,
September,7.73,3.42,4.69,9.07,3.40,9.00,3.48,5.91,1.38,1.95,,
October,9.89,7.27,8.33,7.86,2.29,10.54,11.42,4.97,3.23,7.31,,
November,7.45,10.01,10.39,8.25,3.14,8.30,5.89,7.42,14.66,3.64,,
December,8.35,6.75,11.03,3.00,10.58,3.39,11.02,6.26,7.69,5.14,,
Total,63.15,65.65,76.10,68.41,59.86,66.39,65.12,44.30,64.04,46.84,,
Calc annual,63.15,65.65,76.10,68.41,59.86,66.39,65.12,44.30,64.04,46.84,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
