HORNCASTLE - MAREHAM-LE-FEN - MANOR HOUSE,,,,,,,,,,
Grid ref,TF282614,Long,-0.085,Lat,53.134,Elevation,20,ft,,
Station no,RR3118,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,0.93,0.79,
February,,,,,,,,1.50,1.54,
March,,,,,,,,1.54,1.68,
April,,,,,,,,1.44,2.12,
May,,,,,,,,3.08,1.81,
June,,,,,,,,2.42,1.66,
July,,,,,,,,1.77,2.77,
August,,,,,,,,1.68,1.74,
September,,,,,,,,0.62,2.14,
October,,,,,,,,4.87,,
November,,,,,,,,1.69,,
December,,,,,,,,2.53,1.41,
Total,,,,,,,,24.07,,
,,,,,,,,,,
TYRain_1900-1909_17_pt1/099,,,,,,,,,,
,,,,,,,,,,
"# The observer, Mr Ellwood, lived at the Manor House.",,,,,,,,,,
