BOURNEMOUTH KEMPSEY BATH ROAD,,,,,,,,,,,,
Grid ref,SZ095914,Long,-1.866784,Lat,50.722148,,,,,,,
Station no,RR7951,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.05,2.42,5.13,1.12,6.49,0.80,0.85,,,
February,,,1.62,1.94,3.71,0.92,3.11,1.25,1.19,,,
March,,,2.68,3.27,1.49,4.81,1.26,0.54,3.30,,,
April,,,1.51,2.96,1.07,1.77,1.04,3.74,2.48,,,
May,,,2.17,2.71,2.78,0.39,2.77,1.83,1.68,,,
June,,,2.80,2.44,0.83,3.57,1.33,1.77,0.60,,,
July,,,1.77,3.56,2.48,0.41,1.45,1.11,1.66,,,
August,,,4.75,3.60,3.18,2.81,0.59,1.56,3.10,,,
September,,,1.74,2.22,2.38,1.99,0.76,0.71,2.16,,,
October,,,2.16,9.29,2.66,2.39,7.01,10.46,2.12,,,
November,,,3.45,1.69,1.30,4.43,4.62,2.74,0.95,,,
December,,,1.81,2.68,3.95,0.73,2.09,3.58,3.83,,,
Total,,,27.51,38.78,30.96,25.34,32.52,30.09,23.92,,,
Calc annual,0.00,0.00,27.51,38.78,30.96,25.34,32.52,30.09,23.92,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
