AVONMOUTH DOCKS,,,,,,,,,,,,
Grid ref,ST505787,Long,-2.714580,Lat,51.505053,,,,,,,
Station no,2192/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.67,2.75,2.70,2.19,1.99,2.68,3.32,,
February,,,,2.87,1.46,0.27,2.19,2.81,0.31,1.61,,
March,,,,2.56,1.08,,2.60,0.92,1.82,1.93,,
April,,,,0.55,1.06,1.84,0.20,0.76,2.24,1.34,,
May,,,,1.46,3.62,0.52,0.77,2.03,1.22,0.83,,
June,,,,2.82,2.54,1.93,0.75,2.90,1.67,1.23,,
July,,,,2.89,0.05,2.14,2.12,1.95,4.66,3.03,,
August,,,,2.41,0.88,4.06,1.87,3.76,2.28,4.24,,
September,,,,3.70,0.89,2.71,3.16,5.28,0.11,4.18,,
October,,,,3.36,1.00,1.56,2.55,1.98,3.28,6.28,,
November,,,,4.00,2.46,0.58,2.52,1.90,2.43,3.72,,
December,,,,1.75,2.60,2.66,1.42,2.66,4.96,,,
Total,,,,30.10,20.39,,22.34,28.94,27.66,,,
Calc annual,0.00,0.00,0.00,30.04,20.39,20.97,22.34,28.94,27.66,31.71,,
Difference,NaN,NaN,NaN,0.06,0.00,NaN,-0.00,0.00,-0.00,NaN,,
