"MORRISTON THE VICARAGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4591,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,5.67,7.60,3.69,6.03,5.31,2.31,6.04,,,
February,,,4.03,2.31,6.97,8.65,5.67,2.61,4.19,,,
March,,,8.00,7.96,8.15,1.44,2.04,2.02,3.22,,,
April,,,0.29,6.18,1.77,2.56,2.62,2.31,2.01,,,
May,,,1.89,3.05,3.50,2.56,4.01,3.30,2.24,,,
June,,,8.14,2.72,1.70,2.25,4.35,2.92,2.18,,,
July,,,4.38,0.71,5.51,6.69,2.58,4.50,,,,
August,,,11.32,1.94,7.08,3.24,3.66,10.63,,,,
September,,,0.95,3.91,4.10,1.74,3.56,3.03,,,,
October,,,6.65,5.19,2.86,4.45,13.40,7.33,,,,
November,,,4.36,9.61,6.48,3.90,5.64,4.30,,,,
December,,,8.74,2.97,9.65,10.80,4.03,1.35,,,,
Total,,,64.42,54.15,61.46,54.31,56.87,46.61,,,,
Calc annual,0.00,0.00,64.42,54.15,61.46,54.31,56.87,46.61,19.88,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
