LOUGHRIGG FELL GAUGE A,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6077,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,9.29,4.21,5.40,8.76,7.55,7.77,14.16,,,,,
February,9.58,9.84,4.90,7.02,9.31,10.63,7.85,,,,,
March,4.17,2.67,8.69,9.83,7.02,2.51,2.07,,,,,
April,4.19,4.24,1.82,7.85,2.16,4.41,4.54,,,,,
May,2.96,2.76,2.21,3.27,2.82,1.46,4.19,,,,,
June,1.72,5.56,7.63,5.69,1.28,1.37,3.71,,,,,
July,4.68,1.12,4.85,0.71,4.41,6.27,3.57,,,,,
August,8.83,5.74,6.75,3.09,5.91,3.44,3.49,,,,,
September,0.55,5.69,2.51,2.65,3.57,1.28,3.49,,,,,
October,3.84,6.35,8.25,4.24,2.43,2.07,15.18,,,,,
November,4.94,10.15,6.22,8.96,14.61,3.57,10.77,,,,,
December,7.13,11.39,12.53,7.10,11.12,12.09,8.07,,,,,
Total,61.88,69.72,71.76,69.17,72.19,56.87,81.09,,,,,
Calc annual,61.88,69.72,71.76,69.17,72.19,56.87,81.09,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,,
