LOUGHRIGG FELL GAUGE B,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6077,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,10.79,5.62,6.61,9.09,7.97,8.11,,,,,,
February,11.31,12.35,6.07,7.52,10.60,11.56,,,,,,
March,5.03,3.48,10.52,10.47,7.42,2.70,,,,,,
April,4.76,5.69,2.24,8.61,2.49,4.98,,,,,,
May,3.59,4.09,2.95,3.86,3.18,1.88,,,,,,
June,2.31,6.56,8.55,6.12,1.54,1.58,,,,,,
July,5.38,1.17,6.14,0.99,4.90,6.76,,,,,,
August,10.14,6.95,7.84,3.14,6.50,3.64,,,,,,
September,0.67,6.57,3.36,2.83,3.90,1.30,,,,,,
October,4.80,8.04,9.95,4.59,2.63,2.07,,,,,,
November,5.60,13.00,8.60,9.45,14.25,3.82,,,,,,
December,9.10,13.97,15.97,7.67,12.07,12.56,,,,,,
Total,73.48,87.49,88.80,74.34,77.45,60.96,,,,,,
Calc annual,73.48,87.49,88.80,74.34,77.45,60.96,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
