PORT SUNLIGHT (OVAL),,,,,,,,,,,,
Grid ref,SJ330851,Long,-3.008163,Lat,53.358513,,,,,,,
Station no,2786/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.76,3.68,5.12,,
February,,,,,,,,4.47,0.26,1.73,,
March,,,,,,,,1.43,1.26,1.36,,
April,,,,,,,,0.87,3.50,1.31,,
May,,,,,,,,2.77,1.53,2.15,,
June,,,,,,,,4.89,2.83,1.01,,
July,,,,,,,,4.35,3.48,2.70,,
August,,,,,,,,4.08,1.56,4.71,,
September,,,,,,,,4.86,0.21,3.64,,
October,,,,,,,,3.00,3.25,3.83,,
November,,,,,,,,2.01,4.60,6.32,,
December,,,,,,,,3.48,4.58,3.27,,
Total,,,,,,,,38.97,30.74,37.15,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.97,30.74,37.15,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
