LOCHNAW CASTLE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7255,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.70,2.18,4.59,6.12,2.57,,,,,,,
February,6.47,3.84,3.73,1.46,4.25,,,,,,,
March,2.35,1.49,5.06,3.51,4.84,,,,,,,
April,2.69,3.60,1.33,4.13,2.38,,,,,,,
May,2.91,3.27,1.80,4.11,2.52,,,,,,,
June,1.50,2.83,6.90,2.66,1.13,,,,,,,
July,4.41,2.34,3.42,1.06,4.22,,,,,,,
August,6.09,2.48,4.65,1.53,5.30,,,,,,,
September,1.91,2.20,2.11,3.15,1.82,,,,,,,
October,2.90,4.21,4.31,2.82,2.17,,,,,,,
November,7.00,3.82,3.20,4.73,5.56,,,,,,,
December,5.88,8.62,4.43,4.04,6.60,,,,,,,
Total,46.81,40.88,45.53,39.32,43.36,,,,,,,
Calc annual,46.81,40.88,45.53,39.32,43.36,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
