BICKERTON (TOWER WOOD P.S.),,,,,,,,,,,,
Grid ref,SJ504540,Long,-2.741902,Lat,53.080906,,,,,,,
Station no,2792/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.73,1.52,2.77,3.58,5.21,,
February,,,,,,0.42,2.46,4.46,0.28,2.47,,
March,,,,,,1.08,2.30,1.28,1.55,1.50,,
April,,,,,,2.86,0.40,0.58,3.47,1.44,,
May,,,,,,0.88,1.55,2.08,3.36,1.91,,
June,,,,,,2.05,1.70,5.61,2.33,1.84,,
July,,,,,,2.99,5.91,3.79,3.28,3.18,,
August,,,,,1.03,6.44,4.05,2.99,0.65,4.22,,
September,,,,,2.86,2.25,6.60,6.56,0.22,4.41,,
October,,,,,1.67,1.99,2.59,2.55,2.73,4.83,,
November,,,,,1.55,0.80,1.79,2.41,3.71,4.45,,
December,,,,,2.94,2.34,1.12,3.11,5.47,2.54,,
Total,,,,,,27.83,31.99,38.19,30.63,38.00,,
Calc annual,0.00,0.00,0.00,0.00,10.05,27.83,31.99,38.19,30.63,38.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,,
