Rainfall at,ST AGNES, CHURCH TOWN
,
Station no,1881,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,7.99,
February,,,,,,,,,,,2.46,
March,,,,,,,,,,,3.19,
April,,,,,,,,,,,2.71,
May,,,,,,,,,,,1.82,
June,,,,,,,,,,,1.07,
July,,,,,,,,,,,2.15,
August,,,,,,,,,,,5.18,
September,,,,,,,,,,,5.89,
October,,,,,,,,,,,5.52,
November,,,,,,,,,,,6.88,
December,,,,,,,,,,,3.30,
Total,,,,,,,,,,,48.16,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.16,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,
