BAGSHOT (SHORT),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8767,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,3.04,0.72,2.26,3.04,0.85,2.33,,,,,,
February,1.26,2.24,0.71,0.79,0.97,2.92,,,,,,
March,2.08,1.97,4.11,1.07,3.05,1.06,,,,,,
April,1.31,0.84,1.90,0.56,1.77,0.54,,,,,,
May,2.03,0.50,4.24,1.71,1.47,2.42,,,,,,
June,6.11,2.50,2.19,3.51,0.91,2.84,,,,,,
July,1.78,2.40,1.70,1.10,0.46,2.23,,,,,,
August,5.10,1.08,2.42,3.47,1.00,4.43,,,,,,
September,2.97,2.43,1.43,3.79,2.79,0.53,,,,,,
October,1.70,0.93,4.48,3.04,1.84,6.83,,,,,,
November,2.86,4.29,1.19,1.83,2.86,3.26,,,,,,
December,3.02,1.40,1.86,1.56,0.47,1.98,,,,,,
Total,33.26,21.30,28.49,25.47,18.44,31.37,,,,,,
Calc annual,33.26,21.30,28.49,25.47,18.44,31.37,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
