OAKINGTON-AIRFIELD,,,,,,,,,,
Grid ref,TL411660,Long,0.066619,Lat,52.274051,Elevation,34,ft,,
Station no,1210/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,1.73,2.75,1.92
February,,,,,,,,2.31,0.14,1.1
March,,,,,,,,0.91,2.32,1.5
April,,,,,,,,1.08,1.36,0.26
May,,,,,,,,2.4,0.51,0.86
June,,,,,,,,5.04,1.07,2.67
July,,,,,,,,3.08,2.48,2.94
August,,,,,,,,2.13,0.56,2.71
September,,,,,,,,2.35,0.05,3.85
October,,,,,,,,2.01,1.45,4.29
November,,,,,,,,1.28,1.07,2.66
December,,,,,,,,2.31,2.55,2.56
Total,,,,,,,,26.63,16.31,27.32
