EASTBOURNE BAKEWELL ROAD,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7760,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,3.12,4.57,1.57,2.63,4.26,4.11,,,,,
February,,0.62,2.67,4.47,0.67,4.07,3.33,,,,,
March,,1.69,1.91,2.35,2.30,0.69,0.50,,,,,
April,,1.36,3.40,2.35,2.69,2.72,3.73,,,,,
May,,0.93,0.61,2.88,3.09,2.88,2.23,,,,,
June,,0.14,2.07,0.62,1.93,0.13,3.28,,,,,
July,,0.42,2.40,3.24,3.03,4.78,2.50,,,,,
August,,1.48,3.52,2.55,3.75,1.77,2.25,,,,,
September,,0.73,2.47,3.73,3.20,3.50,0.75,,,,,
October,,1.06,1.25,7.48,5.72,4.31,3.45,,,,,
November,,2.25,2.03,2.77,3.25,3.29,7.32,,,,,
December,,2.38,3.08,4.12,4.73,5.84,0.70,,,,,
Total,,16.18,29.98,38.13,36.99,38.24,34.15,,,,,
Calc annual,0.00,16.18,29.98,38.13,36.99,38.24,34.15,0.00,0.00,0.00,0.00,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,
