"ENNIS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,,
January,,7.97,7.90,8.43,4.25,0.96,3.09,4.51,3.12,,,
February,,2.64,4.41,1.03,1.80,2.53,3.11,1.57,3.09,,,
March,,4.85,1.69,1.71,1.93,3.07,0.77,2.73,1.97,,,
April,,1.94,1.19,3.88,0.20,1.48,3.15,4.01,3.27,,,
May,,1.56,2.19,1.08,4.54,2.77,4.41,1.60,3.04,,,
June,,-999.00,6.94,2.84,4.70,3.47,1.96,2.87,1.07,,,
July,,3.04,2.33,4.53,3.28,3.36,3.51,2.34,4.22,,,
August,,3.11,5.54,2.53,1.76,4.23,2.70,2.17,2.31,,,
September,,0.90,1.52,3.59,2.20,1.29,3.70,3.42,5.08,,,
October,,5.83,4.34,6.10,3.90,4.36,-999.00,3.28,4.02,,,
November,,1.82,7.60,4.06,2.00,2.01,1.20,2.46,1.65,,,
December,,2.24,7.94,0.59,5.88,3.17,5.54,3.16,7.22,,,
Total,,40.08,53.59,40.37,36.44,32.70,35.25,34.12,40.06,,,
Calc annual,0.00,35.90,53.59,40.37,36.44,32.70,33.14,34.12,40.06,0.00,,
Difference,NaN,4.18,0.00,-0.00,0.00,0.00,2.11,-0.00,0.00,NaN,,
