NESSITT HILL,,,,,,,,,,,,
Grid ref,SJ963706,Long,-2.056888,Lat,53.232423,,,,,,,
Station no,2721/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,4.42,3.23,6.44,,
February,,,,,,,,5.58,0.82,2.43,,
March,,,,,,,,1.75,2.37,1.52,,
April,,,,,,,,1.14,3.15,2.10,,
May,,,,,,,,4.18,0.98,2.29,,
June,,,,,,,,6.78,2.07,1.96,,
July,,,,,,,,5.84,2.99,5.92,,
August,,,,,,,,4.42,1.53,4.06,,
September,,,,,,,,5.07,0.21,4.27,,
October,,,,,,,,4.15,3.58,6.63,,
November,,,,,,,,1.86,4.92,6.15,,
December,,,,,,,,4.05,6.50,4.18,,
Total,,,,,,,,49.24,32.35,47.95,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.24,32.35,47.95,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
