"ABOYNE CASTLE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4041,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,0.49,0.80,1.16,3.78,1.30,2.48,1.76,2.06,2.08,,,
February,3.56,1.77,1.40,5.80,3.19,2.35,0.43,0.77,1.16,,,
March,1.12,1.34,2.39,5.33,4.34,1.69,2.26,2.22,3.78,,,
April,2.96,1.43,4.18,1.71,0.99,2.01,1.06,1.32,1.82,,,
May,0.44,2.80,2.20,1.21,0.78,4.36,3.66,1.45,1.27,,,
June,3.28,0.92,4.23,1.95,0.69,1.11,0.80,0.64,2.94,,,
July,4.44,2.84,3.01,6.65,3.55,0.95,3.59,1.23,5.09,,,
August,0.79,2.64,1.55,3.62,0.81,3.41,1.35,4.02,0.88,,,
September,2.52,4.68,2.73,2.99,1.17,3.63,1.99,3.50,1.46,,,
October,2.16,4.64,2.84,2.11,2.97,1.91,4.53,2.79,1.80,,,
November,2.82,4.48,5.75,0.96,2.44,3.43,2.53,3.43,5.03,,,
December,1.94,1.75,4.20,1.94,0.61,1.50,1.95,2.49,2.12,,,
Total,26.52,30.09,35.64,38.05,22.84,28.83,25.91,25.92,29.43,,,
Calc annual,26.52,30.09,35.64,38.05,22.84,28.83,25.91,25.92,29.43,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,,
