BARROW-IN-FURNESS (BOYS GRAMMAR SCHOOL),,,,,,,,,,,,
Grid ref,SD208707,Long,-3.213397,Lat,54.126030,,,,,,,
Station no,3016/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.55,3.18,5.79,,
February,,,,,,,,5.56,1.15,3.75,,
March,,,,,,,2.42,1.54,2.11,1.48,,
April,,,,,,,0.98,1.27,3.41,2.79,,
May,,,,,,,3.27,3.90,2.63,2.64,,
June,,,,,,,1.88,4.57,5.22,1.35,,
July,,,,,,,3.58,2.48,2.46,3.46,,
August,,,,,,,,4.77,0.29,4.65,,
September,,,,,,,,,1.08,4.02,,
October,,,,,,,,3.72,4.93,4.13,,
November,,,,,,,1.87,2.55,7.05,7.09,,
December,,,,,,,4.40,4.94,7.13,3.59,,
Total,,,,,,,,,40.64,44.74,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,18.40,38.85,40.64,44.74,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
