SOUTHPORT LINAKER STREET,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8181,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,0.82,3.37,3.39,1.52,3.96,1.36,1.77,2.67,3.64,,
February,,2.59,1.60,0.90,2.00,3.29,2.92,1.04,2.69,1.01,,
March,,1.01,4.74,3.14,3.48,1.20,1.99,2.97,0.97,5.17,,
April,,2.50,0.32,1.11,0.78,2.34,2.39,1.60,0.97,1.21,,
May,,1.20,2.21,2.22,2.26,1.27,2.41,2.57,3.55,1.01,,
June,,2.28,4.12,1.91,1.22,1.52,1.85,1.88,1.55,1.28,,
July,,0.37,4.07,1.62,4.68,3.44,1.31,1.03,4.08,1.39,,
August,,3.65,4.39,1.49,1.52,3.68,2.49,5.79,2.77,3.23,,
September,,4.44,1.27,2.18,3.59,0.71,2.66,2.32,7.74,2.19,,
October,,2.24,3.95,2.37,2.41,1.42,5.85,6.26,3.17,2.82,,
November,,3.08,2.46,3.68,3.88,2.08,2.38,3.23,1.71,1.99,,
December,,4.41,2.59,1.60,5.10,6.17,2.23,1.48,6.45,3.99,,
Total,,28.59,35.09,25.61,32.44,31.08,29.84,31.94,38.32,28.93,,
Calc annual,0.00,28.59,35.09,25.61,32.44,31.08,29.84,31.94,38.32,28.93,,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
