WEST HARTLEPOOL (CATCOTE ROAD),,,,,,,,,,,,
Grid ref,NZ494299,Long,-1.235707,Lat,54.661773,,,,,,,
Station no,3524/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,-999.00,1.81,2.95,4.10,,
February,,,,,,,,3.27,0.53,1.81,,
March,,,,,,,,3.06,0.49,1.28,,
April,,,,,,,,1.33,1.38,0.37,,
May,,,,,,,,2.69,0.21,0.99,,
June,,,,,,,,2.73,1.47,0.33,,
July,,,,,,,,2.36,2.58,4.75,,
August,,,,,,,,2.37,0.17,2.10,,
September,,,,,,,,1.90,1.02,2.01,,
October,,,,,,,-999.00,0.98,1.06,6.45,,
November,,,,,,,1.17,0.78,3.24,2.64,,
December,,,,,,,0.76,2.41,2.94,2.27,,
Total,,,,,,,,25.69,18.04,29.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,1.93,25.69,18.04,29.10,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
