STONE-COLD-NORTON-FARM,,,,,,,,,,
Grid ref,SJ878321,Long,-2.1827529,Lat,52.886216,Elevation,350,ft.,,
Station no,2353/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.6,2.4,3.58,2.14,2.03,2.7,3.98
February,,,1.7,2.46,1.83,0.74,1.97,3.19,0.48,1.79
March,,,1.34,1.86,2.52,1.45,2.05,1.32,1.56,1.22
April,,,2.75,0.37,1.6,0.91,0.35,0.93,3.2,1.55
May,,,2.64,2.48,3.54,0.87,1.1,2.59,0.75,1.73
June,,,3.12,3.25,3.83,2.88,2.43,4.86,1,1.83
July,,,2.76,3.68,0.85,3.01,4.65,3.86,1.19,3.09
August,,,2.94,4.28,1.27,3.64,3.6,3.51,0.6,4.55
September,,,2.19,2.69,3.3,2.28,6.16,3.97,0.21,4.51
October,,,1.77,5.2,1.56,1.77,2.35,3.06,1.84,4.54
November,,,1.76,5.01,1.89,1.07,1.57,1.52,3.1,4.08
December,,,1.21,3.45,2.4,2.62,1.33,2.82,3.73,2.8
Total,,,,36.33,26.99,24.82,29.7,33.66,20.36,35.67
,,,,,,,,,,
NGR is from the 1950s record and is the farm. Altitudes match.,,,,,,,,,,
MIDAS src_id 625 ends 1991,,,,,,,,,,
"October 1956 readings has been reduced from 5.26 to 1.56, no explanation given but new value is consistent within nearby locations, therefore left in this record",,,,,,,,,,
