"GRINTON LODGE",,,,,,,,,,,,
Grid ref,SE049976,Long,-1.926078,Lat,54.373884,,,,,,,
Station no,3442/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,100.00,4.83,2.75,3.48,5.01,,
February,,,,,,,3.21,4.76,0.45,3.14,,
March,,,,,,,2.04,2.30,1.89,2.68,,
April,,,,,,,0.32,0.90,2.67,2.51,,
May,,,,,,,2.35,4.71,0.44,1.32,,
June,,,,,,,1.29,4.53,1.41,0.97,,
July,,,,,,,4.68,3.02,1.91,5.20,,
August,,,,,,100.00,6.80,3.39,0.59,2.71,,
September,,,,,,100.00,3.76,4.29,0.51,3.27,,
October,,,,,,2.23,4.17,3.09,3.30,7.09,,
November,,,,,,1.11,2.14,0.92,6.89,6.49,,
December,,,,,,4.03,4.05,4.24,8.69,4.98,,
Total,,,,,,100.00,39.64,38.90,32.23,45.37,,
Calc annual,0.00,0.00,0.00,0.00,0.00,307.37,39.64,38.90,32.23,45.37,,
Difference,NaN,NaN,NaN,NaN,NaN,-207.37,0.00,0.00,0.00,-0.00,,
