KINTESSACK (CULBIN),,,,,,,,,,,,
Grid ref,NJ000602,Long,-3.675828,Lat,57.620643,,,,,,,
Station no,5683/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.27,1.86,1.36,1.22,1.15,2.11,2.33,2.44,2.98,3.11,,
February,1.97,1.17,1.56,0.98,1.97,1.93,1.25,3.24,0.51,2.17,,
March,2.06,1.46,0.90,1.05,1.21,0.70,3.32,0.73,1.32,1.25,,
April,3.65,0.84,2.38,0.74,0.87,2.13,0.53,1.42,2.21,1.65,,
May,0.45,1.46,3.32,3.69,2.56,0.90,1.00,3.14,0.80,0.46,,
June,2.02,1.76,2.40,2.28,0.97,2.25,1.79,2.22,1.73,3.65,,
July,3.04,2.27,3.66,4.18,0.40,4.81,6.43,3.75,1.99,2.73,,
August,3.51,2.80,1.98,1.91,0.46,4.06,4.28,3.43,0.96,7.00,,
September,0.61,2.07,2.70,1.96,1.23,3.07,1.39,2.35,0.77,2.07,,
October,1.51,1.61,0.72,5.47,3.59,2.67,1.28,2.06,2.66,2.61,,
November,3.61,2.50,1.89,2.09,0.62,1.35,2.10,1.05,2.05,1.47,,
December,2.72,2.36,2.49,3.57,4.89,2.40,2.71,1.77,1.51,1.12,,
Total,27.42,22.16,25.36,29.14,19.92,28.38,28.41,27.60,19.49,29.29,,
Calc annual,27.42,22.16,25.36,29.14,19.92,28.38,28.41,27.60,19.49,29.29,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,,
