"BATTLE CROWHURST PARK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,547/1,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,3.18,5.33,1.06,4.06,2.17,1.69,3.65,,,
February,,,3.21,1.35,3.94,4.25,5.56,1.16,0.76,,,
March,,,4.00,2.97,5.59,0.72,4.55,1.99,1.02,,,
April,,,0.04,3.37,1.29,1.81,2.04,1.69,1.72,,,
May,,,0.99,0.71,0.82,4.21,2.65,1.87,1.27,,,
June,,,3.93,1.78,1.27,1.06,3.60,3.47,1.25,,,
July,,,1.15,2.60,1.51,3.98,1.12,3.30,3.35,,,
August,,,7.56,2.78,1.23,3.09,2.39,5.84,1.51,,,
September,,,2.96,2.99,1.57,2.97,1.60,1.06,6.13,,,
October,,,4.01,5.34,2.70,2.98,5.79,4.81,3.19,,,
November,,,2.45,4.77,5.10,3.60,5.98,2.21,1.38,,,
December,,,3.87,1.76,8.62,8.19,5.38,2.91,2.91,,,
Total,,,37.35,35.75,34.70,40.92,42.83,32.00,28.14,,,
Calc annual,0.00,0.00,37.35,35.75,34.70,40.92,42.83,32.00,28.14,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,,
