"SEVENOAKS, DARTFORD ROAD. ST. JOHN'S HILL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6936,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.85,1.55,,,,,,,,,,
February,4.33,2.02,,,,,,,,,,
March,1.68,2.86,,,,,,,,,,
April,1.66,2.55,,,,,,,,,,
May,3.37,2.72,,,,,,,,,,
June,2.44,2.20,,,,,,,,,,
July,2.81,0.35,,,,,,,,,,
August,2.32,0.45,,,,,,,,,,
September,0.90,1.42,,,,,,,,,,
October,3.11,5.22,,,,,,,,,,
November,4.50,7.96,,,,,,,,,,
December,4.19,6.78,,,,,,,,,,
Total,34.16,36.08,,,,,,,,,,
Calc annual,34.16,36.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
