GREAT HARLOW,,,,,,,,,,,,
Grid ref,SD696612,Long,-2.465761,Lat,54.045864,,,,,,,
Station no,3069/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,11.74,8.46,5.62,8.99,,
February,,,,,,,5.55,12.26,2.01,8.56,,
March,,,,,,,6.85,1.97,4.14,1.96,,
April,,,,,,,1.42,2.44,5.01,6.05,,
May,,,,,,,3.52,7.24,1.75,2.05,,
June,,,,,,,2.45,4.72,3.81,3.72,,
July,,,,,,,7.82,5.40,5.55,13.04,,
August,,,,,,,8.50,7.20,0.82,5.75,,
September,,,,,,,9.46,8.47,0.77,4.85,,
October,,,,,,,11.31,7.41,10.13,4.04,,
November,,,,,,,2.10,2.78,9.07,14.78,,
December,,,,,,,9.30,6.97,14.91,10.65,,
Total,,,,,,,80.02,75.32,63.59,84.44,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,80.02,75.32,63.59,84.44,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
