LYDNEY,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8197,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,2.71,1.11,1.79,2.75,,,,,,,
February,,0.46,1.36,3.60,2.95,,,,,,,
March,,1.33,0.71,0.80,1.70,,,,,,,
April,,0.99,0.90,0.16,2.10,,,,,,,
May,,3.87,0.94,1.93,2.78,,,,,,,
June,,2.54,2.23,0.89,1.84,,,,,,,
July,2.64,1.69,2.74,2.42,2.90,,,,,,,
August,3.37,6.08,3.87,2.16,2.50,,,,,,,
September,1.17,1.75,2.55,0.79,1.96,,,,,,,
October,1.32,7.59,2.16,2.13,4.10,,,,,,,
November,2.35,2.28,2.45,1.18,4.30,,,,,,,
December,0.68,3.55,0.92,3.23,3.60,,,,,,,
Total,,34.84,21.94,21.08,33.48,,,,,,,
Calc annual,11.53,34.84,21.94,21.08,33.48,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
