"HAWARDEN 36 (HIGH PARK)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4272,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,4.69,3.63,4.45,3.37,3.24,2.98,2.25,6.64,2.65,0.63,,
February,3.59,1.26,2.24,1.49,1.98,4.35,2.25,1.39,1.16,4.79,,
March,2.80,1.99,1.10,0.77,0.81,1.02,5.40,0.94,2.31,0.78,,
April,1.25,1.29,1.20,0.94,1.62,0.59,2.60,1.50,2.50,2.97,,
May,2.15,3.28,2.50,1.52,3.46,2.58,3.30,0.84,2.26,0.95,,
June,0.40,0.37,2.54,1.62,2.21,3.41,2.45,3.37,0.63,0.96,,
July,1.42,3.06,3.51,2.10,3.51,2.27,4.00,1.91,2.58,1.70,,
August,3.42,2.23,2.28,2.03,2.95,4.60,0.29,2.49,1.56,4.28,,
September,0.32,1.47,4.83,3.99,0.97,2.61,1.59,1.56,0.93,4.28,,
October,3.62,2.29,3.49,5.02,4.36,0.94,0.72,1.75,3.37,2.01,,
November,3.19,0.97,3.04,5.53,0.32,4.79,3.82,1.54,3.26,3.74,,
December,1.12,3.81,1.49,2.10,3.06,3.63,2.22,3.24,3.05,3.32,,
Total,27.97,25.65,32.67,30.48,28.49,33.77,30.89,27.17,26.26,30.41,,
Calc annual,27.97,25.65,32.67,30.48,28.49,33.77,30.89,27.17,26.26,30.41,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
