"HONITON (GITTISHAM)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1819/3,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,5.19,5.14,9.89,2.50,3.40,,,,,,,
February,4.91,0.32,1.74,0.59,2.41,,,,,,,
March,2.48,3.19,1.58,0.07,,,,,,,,
April,1.71,1.90,1.16,2.72,,,,,,,,
May,2.19,7.30,2.34,0.60,,,,,,,,
June,1.88,1.22,1.95,2.17,,,,,,,,
July,1.06,2.00,3.28,2.67,,,,,,,,
August,4.66,5.83,3.19,3.20,,,,,,,,
September,1.33,4.08,4.56,2.43,,,,,,,,
October,1.96,3.75,5.35,5.89,,,,,,,,
November,3.36,1.13,2.58,6.41,,,,,,,,
December,2.98,5.65,5.11,4.06,,,,,,,,
Total,33.71,41.60,42.73,33.31,,,,,,,,
Calc annual,33.71,41.51,42.73,33.31,5.81,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.09,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
