"SOUTH KYME (UNKNOWN)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,9999,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.70,1.99,4.87,2.40,,,,,,,,
February,2.42,0.96,0.44,1.42,,,,,,,,
March,3.33,1.32,0.36,0.27,,,,,,,,
April,0.85,0.51,0.56,1.96,,,,,,,,
May,2.00,2.71,2.11,0.80,,,,,,,,
June,0.31,1.25,1.57,1.72,,,,,,,,
July,5.41,2.52,0.80,1.46,,,,,,,,
August,3.72,1.80,2.29,3.33,,,,,,,,
September,0.62,1.48,2.82,2.70,,,,,,,,
October,2.69,1.52,1.03,2.41,,,,,,,,
November,3.04,2.45,1.63,3.70,,,,,,,,
December,0.56,1.32,0.73,1.14,,,,,,,,
Total,27.65,19.83,19.21,23.31,,,,,,,,
Calc annual,27.65,19.83,19.21,23.31,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
