"STENNESS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5823/3,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,100.00,6.40,3.02,5.69,5.41,3.08,3.16,4.89,6.31,5.40,,
February,,4.00,4.38,2.64,3.90,3.99,1.36,2.85,3.33,3.11,,
March,,1.22,1.90,2.92,2.94,3.25,1.96,2.70,3.77,2.84,,
April,100.00,0.78,3.70,2.55,2.67,2.34,3.32,1.87,2.62,3.13,,
May,0.99,1.70,2.47,2.90,4.02,1.23,0.98,1.91,1.96,0.87,,
June,0.55,1.18,1.36,2.73,2.54,3.09,1.52,1.57,1.35,4.01,,
July,3.16,1.66,3.54,1.15,2.18,3.41,1.37,1.81,1.65,1.96,,
August,3.55,2.02,3.54,2.12,2.86,2.63,0.11,3.19,2.46,2.52,,
September,2.29,4.64,5.51,3.30,3.22,4.73,5.26,3.90,2.37,5.70,,
October,3.61,5.53,3.33,4.02,4.22,0.74,2.00,6.39,3.38,2.77,,
November,4.62,1.88,5.95,5.67,2.29,6.04,4.51,2.64,4.56,5.05,,
December,4.28,4.67,2.56,4.92,6.69,4.42,4.63,4.98,5.14,3.47,,
Total,-999.00,35.68,41.26,40.61,42.94,38.95,30.18,38.70,38.90,40.83,,
Calc annual,223.05,35.68,41.26,40.61,42.94,38.95,30.18,38.70,38.90,40.83,,
Difference,-1222.05,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
