"ST ALBANS (STONECROSS P.S.)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,924/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,,2.28,1.47,4.35,1.17,0.80,,
February,,,,,,2.41,1.42,0.97,1.20,4.40,,
March,,,,,,0.93,5.68,0.79,1.16,0.73,,
April,,,,,,1.22,2.00,1.18,1.96,1.58,,
May,,,,,,2.74,1.26,3.46,1.75,1.67,,
June,,,,,,2.08,2.68,2.55,0.66,1.44,,
July,,,,,,1.81,1.87,0.86,1.14,4.61,,
August,,,,,,3.48,0.04,1.88,2.04,3.19,,
September,,,,,,3.89,1.21,1.61,0.50,3.08,,
October,,,,,,1.30,0.05,2.01,6.30,0.43,,
November,,,,,,5.64,1.07,1.57,2.56,4.96,,
December,,,,,,1.83,2.35,2.70,1.68,1.26,,
Total,,,,,,29.61,21.10,23.93,22.12,28.15,,
Calc annual,0.00,0.00,0.00,0.00,0.00,29.61,21.10,23.93,22.12,28.15,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,,
