"DUNBLANE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5527,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,1.63,3.94,6.23,4.96,2.60,4.83,4.78,7.68,4.11,,,
February,4.29,1.30,3.66,1.45,6.05,3.11,1.37,4.12,4.24,,,
March,2.26,2.37,1.40,0.44,2.50,2.52,2.78,3.25,1.42,,,
April,1.11,2.47,2.35,2.41,1.66,0.69,5.72,2.03,2.56,,,
May,2.26,3.53,4.05,2.62,4.87,1.54,3.79,2.07,1.98,,,
June,1.05,1.85,3.25,3.09,3.36,3.06,3.97,4.64,1.08,,,
July,2.90,1.45,1.95,2.89,3.98,3.56,5.28,4.29,1.96,,,
August,4.42,3.83,5.22,2.47,3.91,3.54,0.01,6.66,4.11,,,
September,1.50,4.95,3.08,2.98,5.60,6.78,4.26,4.72,1.22,,,
October,4.48,4.07,7.18,3.80,4.65,0.62,2.36,4.74,6.81,,,
November,3.75,0.59,1.83,6.92,0.19,6.13,4.62,2.55,4.10,,,
December,3.02,5.17,1.95,5.16,3.60,4.15,2.86,4.83,6.19,,,
Total,32.67,35.52,42.15,39.19,42.97,40.53,41.80,51.58,39.78,,,
Calc annual,32.67,35.52,42.15,39.19,42.97,40.53,41.80,51.58,39.78,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
