"OGDEN (CHECK GAUGE NO 2)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3255/2,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,,,3.64,9.30,1.89,,,
February,,,,,,,4.13,3.37,2.76,,,
March,,,,,,2.18,8.03,1.50,,,,
April,,,,,,1.94,4.13,2.83,,,,
May,,,,,,2.11,4.32,1.22,,,,
June,,,,,,2.83,2.97,4.80,,,,
July,,,,,,3.84,2.19,1.12,,,,
August,,,,,,6.37,0.36,4.13,,,,
September,,,,,,6.85,1.85,1.72,,,,
October,,,,,,1.33,1.42,1.78,,,,
November,,,,,,7.17,6.13,1.75,,,,
December,,,,,,3.69,3.90,3.54,,,,
Total,,,,,,,43.07,37.06,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,38.31,43.07,37.06,4.65,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,,
