PEAK FOREST (WHITE RAKE) NO 110,,,,,,,,,,,,
Grid ref,SK143781,Long,-1.786897,Lat,53.299662,,,,,,,
Station no,2681/3/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.32,3.69,1.57,5.25,3.29,7.92,3.05,5.65,4.50,6.73,,
February,4.47,1.79,3.24,4.00,2.87,2.93,3.07,10.85,0.70,3.36,,
March,6.03,2.12,2.75,4.06,4.18,2.41,3.28,3.25,2.33,2.13,,
April,2.20,3.50,3.16,0.99,1.96,2.05,0.41,1.51,3.44,2.34,,
May,2.59,3.25,2.54,3.36,5.64,0.98,1.98,4.14,1.21,2.35,,
June,1.38,2.83,2.91,3.09,3.40,3.49,2.08,6.04,1.60,2.04,,
July,1.82,2.59,4.52,4.94,0.98,6.79,4.65,7.08,2.98,5.90,,
August,4.55,2.12,4.40,6.39,0.67,8.32,7.06,3.44,0.89,3.94,,
September,2.46,4.16,2.65,5.17,1.74,4.20,8.93,4.37,0.18,4.43,,
October,1.11,5.47,2.95,6.44,3.45,3.18,3.76,4.50,3.89,6.58,,
November,10.58,3.25,2.39,7.59,2.91,1.86,2.29,1.53,5.39,6.01,,
December,6.47,5.90,2.05,7.58,4.96,5.84,5.17,4.93,7.33,4.69,,
Total,49.98,40.67,35.13,58.86,36.05,49.97,45.73,57.29,34.44,50.50,,
Calc annual,49.98,40.67,35.13,58.86,36.05,49.97,45.73,57.29,34.44,50.50,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
