BLANCHLAND (COWBYERS),,,,,,,,,,,,
Grid ref,NY972516,Long,-2.045144,Lat,54.859181,,,,,,,
Station no,3500/1/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.54,3.69,3.60,3.61,2.56,2.75,3.25,5.20,,
February,,,1.39,2.62,2.08,3.83,2.97,4.30,0.38,5.38,,
March,,,0.17,1.70,2.19,1.49,1.55,2.91,0.98,2.38,,
April,,,3.10,0.62,0.40,1.33,0.32,1.81,2.59,1.60,,
May,,,2.51,5.36,2.25,0.85,1.48,3.83,0.79,1.97,,
June,,,3.96,1.88,2.35,3.30,1.17,3.68,2.24,0.45,,
July,,1.98,1.71,1.65,1.48,3.50,4.10,3.71,0.97,5.25,,
August,,2.62,4.13,7.84,1.13,10.15,5.00,3.76,0.60,3.95,,
September,,4.95,3.00,3.51,1.41,3.74,3.52,2.48,1.05,2.73,,
October,,4.69,2.04,5.55,2.51,2.10,2.43,2.24,2.21,10.12,,
November,,3.74,2.15,5.30,1.64,1.00,2.36,0.37,5.32,3.05,,
December,,3.43,1.41,3.51,4.45,3.48,2.72,5.19,5.62,2.75,,
Total,,,26.11,43.23,25.49,38.38,30.18,37.03,26.00,44.83,,
Calc annual,0.00,21.41,26.11,43.23,25.49,38.38,30.18,37.03,26.00,44.83,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
