"GLENCROE, THE REST",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8286,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,12.20,10.37,19.41,19.22,24.05,,,
February,,,,,5.50,10.89,10.56,7.59,13.90,,,
March,,,,,1.12,5.26,16.08,10.87,13.25,,,
April,,,,,6.62,,4.52,10.26,7.27,,,
May,,,,,7.40,,7.14,6.00,1.82,,,
June,,,,,6.82,,6.26,9.47,7.64,,,
July,,,,,11.96,,7.98,7.79,10.57,,,
August,,,,,10.09,,10.90,10.05,,,,
September,,,,,12.96,7.82,8.23,12.41,,,,
October,,,,,6.00,12.11,11.78,12.23,,,,
November,,,,,10.67,2.78,13.54,13.00,,,,
December,,,,,19.59,9.85,9.84,1.89,,,,
Total,,,,,110.93,,126.24,120.78,,,,
Calc annual,0.00,0.00,0.00,0.00,110.93,59.08,126.24,120.78,78.50,0.00,0.00,
Difference,NaN,NaN,NaN,NaN,-0.00,NaN,-0.00,0.00,NaN,NaN,NaN,
