DAVIDSONS MAINS (EASTER PARK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT202757,Long,-3.280017,Lat,55.967646,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5144/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.57,3.55,1.47,1.46,3.63,2.15,1.7,2.93,1.98,2.54,5.48,2.27,1.35,3.13,2.07,0.36,2.65,1.86,1.49,3.62,0.92,0.54,2.64
February,,,,,,,,0.46,1.71,1.04,3.24,1.13,1.56,0.63,2.82,1.94,1.19,2.04,1.39,2.3,1.8,0.48,0.63,1.28,1.52,1.89,3.3,1.84,0.51,1.92
March,,,,,,,,0.81,3.04,2.55,3.05,1.26,1.44,0.48,1.09,1.49,3.74,1.09,1.08,2.18,2.66,1,0.37,1.5,1.42,1.17,1.93,2.64,0.57,1.28
April,,,,,,,,0.17,1.53,2.15,1.45,1.76,0.92,1.85,1.11,0.31,3.3,1.54,0.96,2.47,2.4,1.33,2.06,2.05,0.47,0.72,0.73,1.48,1.72,0.69
May,,,,,,,2.18,3.96,1.34,1.29,3.54,1.57,3.43,2.07,4.17,2.16,3.04,2.21,1.74,1.72,3.17,1.47,1.84,4.14,1.81,0.7,1.76,2.16,0.75,1.69
June,,,,,,,1.45,2.83,1.14,0.57,0.73,0.89,2.78,1.83,2.13,1.89,3.09,3.79,1.13,2.02,2.09,2.08,1.33,2.61,0.96,2.6,1.36,3.47,1.84,1.31
July,,,,,,,4.23,3.02,2.48,7.71,3.27,3.05,1.76,2.74,2.71,3.2,2.11,2.26,2.64,3.8,5.25,2.37,5.19,2.12,1.15,5.02,4.21,6.24,2.77,3.11
August,,,,,,,6.2,1.38,0.9,0.68,3.13,1.93,4.12,2.39,2.44,2.58,0.23,7.99,2.92,3.15,5.22,4.52,1.8,4.18,1.2,6.61,3.24,3.57,0.34,4.48
September,,,,,,,2.42,2.32,2.29,2.37,0.79,2.23,1.74,4.17,4.3,4.08,1.66,3.25,2.52,5.35,0.99,2.37,2.36,3.24,1.45,3.61,1.58,3.51,0.75,1.36
October,,,,,,,4.31,5.08,1.95,2.87,2.84,2.01,3.36,2.74,3.69,1,1.58,1.99,4.54,1.97,0.46,1.68,1.12,7,1.56,1.79,1.83,1.41,1.82,3.23
November,,,,,,,0.33,3.8,3.51,3.49,1.5,0.44,0.74,4.93,0.36,3.31,3.18,2.96,2.22,3.28,3.97,2.3,3.4,2.61,0.87,0.72,1.76,1.31,5.23,2.39
December,,,,,,,2.22,2.15,0.91,2.31,0.82,1.32,0.84,1.92,1.93,1.85,1.99,2.31,4.24,2.22,2.05,2.11,3.17,3,3.62,2.58,2.43,4.16,2.85,2.55
Total,,,,,,,,29.55,24.35,28.5,25.82,21.22,24.84,27.45,29.68,25.79,27.65,36.91,27.65,31.81,33.19,23.78,23.63,36.38,17.89,28.9,27.75,32.71,19.69,26.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,DAVIDSONS MAINS ,1937-1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
