ECCLEFECHAN KIRKCONNEL HALL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7316,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,3.80,7.07,1.94,6.31,3.48,0.70,,
February,,,,,2.53,1.09,4.97,3.01,2.76,2.38,,
March,,,,,2.68,1.34,3.33,2.29,0.71,2.23,,
April,,,,,2.52,1.88,3.23,2.53,3.01,1.47,,
May,,,,,1.47,2.19,0.74,3.40,3.15,2.77,,
June,,,,,0.78,5.34,3.28,3.92,2.18,6.04,,
July,,,,,2.90,2.48,2.25,6.58,0.75,4.21,,
August,,,,,7.65,2.77,4.40,7.76,3.79,4.09,,
September,,,,,4.07,6.15,3.19,2.64,4.11,4.22,,
October,,,,,7.20,3.42,4.74,7.15,2.73,2.02,,
November,,,,,4.85,4.15,3.36,6.95,1.70,1.18,,
December,,,,,1.27,2.85,6.28,3.96,2.65,2.21,,
Total,,,,,41.72,40.73,41.71,56.50,31.02,33.52,,
Calc annual,0.00,0.00,0.00,0.00,41.72,40.73,41.71,56.50,31.02,33.52,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,,
