"MERSTHAM (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,TQ295526,Long,-0.145534,Lat,51.257864,,,,,,,
Station no,125/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.16,4.15,2.28,2.89,2.87,3.16,,
February,,,,,1.68,0.39,3.85,2.80,0.14,2.46,,
March,,,,,1.52,0.86,1.43,1.87,1.87,2.45,,
April,,,,,0.37,2.07,0.21,1.27,2.10,0.90,,
May,,,,,4.02,0.29,1.46,2.41,0.71,1.53,,
June,,,,,1.85,2.52,1.35,4.21,3.30,1.46,,
July,,,,,1.43,4.24,3.99,1.66,0.85,3.67,,
August,,,,,1.55,2.94,2.00,3.51,0.75,2.86,,
September,,,,,2.27,2.99,2.84,5.27,0.13,3.45,,
October,,,,,4.42,1.46,1.70,3.48,3.16,6.82,,
November,,,,,1.19,0.96,2.75,2.35,3.46,6.08,,
December,,,,,2.97,3.62,2.50,3.58,5.51,3.71,,
Total,,,,,26.43,26.49,26.36,35.30,24.85,38.55,,
Calc annual,0.00,0.00,0.00,0.00,26.43,26.49,26.36,35.30,24.85,38.55,,
Difference,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,-0.00,,
