WEXCOMBE HOUSE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1528/3,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,0.79,4.85,5.43,2.92,4.83,2.33,,
February,,,,,3.12,2.56,5.28,1.01,1.89,2.98,,
March,,,,,0.80,3.13,4.44,0.35,1.17,2.10,,
April,,,,,4.10,2.06,3.04,0.09,2.75,1.64,,
May,,,,,1.20,0.67,3.01,1.72,1.21,0.90,,
June,,,,,4.09,1.59,1.33,1.11,1.98,0.97,,
July,,,,,0.33,4.41,1.71,2.38,4.84,2.70,,
August,,,,,2.00,1.06,1.03,2.75,1.98,0.11,,
September,,,,,5.13,3.26,2.10,1.63,0.89,2.17,,
October,,,,,4.13,2.52,4.63,4.59,4.45,4.25,,
November,,,,,5.29,3.30,1.64,4.63,5.72,7.05,,
December,,,,,4.52,2.69,2.51,4.46,1.83,1.97,,
Total,,,,,35.50,32.10,36.15,27.64,33.54,29.17,,
Calc annual,0.00,0.00,0.00,0.00,35.50,32.10,36.15,27.64,33.54,29.17,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,,
